Date,Open,High,Low,Close,Volume,Market-cap
16-Jul-17,38.92,41.97,36.38,40.91,393366000,2024150000
15-Jul-17,42.81,42.81,37.78,38.92,327332000,2225560000
14-Jul-17,46.36,46.48,40.80,42.80,320419000,2409670000
13-Jul-17,48.72,49.05,45.39,46.33,229105000,2531820000
12-Jul-17,45.26,49.07,44.07,48.75,369964000,2350960000
11-Jul-17,46.27,47.39,43.65,45.33,400045000,2403210000
10-Jul-17,49.91,50.53,44.74,46.58,373253000,2591230000
9-Jul-17,52.36,53.31,49.53,49.58,409244000,2717950000
8-Jul-17,46.64,52.75,44.67,52.14,604987000,2420160000
7-Jul-17,51.10,51.14,45.63,46.58,553712000,2650900000
6-Jul-17,53.20,53.20,50.12,51.13,461149000,2758680000
5-Jul-17,55.27,56.03,50.60,53.19,790609000,2865630000
4-Jul-17,46.56,55.42,46.56,55.33,1101750000,2413260000
3-Jul-17,41.48,48.40,40.97,46.43,729938000,2149160000
2-Jul-17,38.95,43.27,37.80,41.57,315630000,2017570000
1-Jul-17,40.40,40.58,38.47,38.99,225507000,2092370000
30-Jun-17,41.04,41.75,40.17,40.35,251184000,2124870000
29-Jun-17,42.83,42.83,40.35,41.07,300131000,2216710000
28-Jun-17,40.82,43.61,39.18,42.85,353444000,2111870000
27-Jun-17,41.13,41.39,36.20,40.54,565265000,2127600000
26-Jun-17,44.04,44.35,37.55,41.13,538072000,2277350000
25-Jun-17,44.49,46.22,43.05,43.92,354372000,2300180000
24-Jun-17,47.25,47.44,44.01,44.49,321214000,2442000000
23-Jun-17,47.75,48.42,47.27,47.34,284270000,2467280000
22-Jun-17,47.72,48.85,45.87,47.71,445323000,2465100000
21-Jun-17,47.30,49.73,44.22,47.79,640054000,2442610000
20-Jun-17,50.41,51.47,45.75,47.22,612935000,2602590000
19-Jun-17,46.16,53.55,44.99,50.32,1342360000,2382490000
18-Jun-17,47.44,47.44,42.43,46.04,1016220000,2447790000
17-Jun-17,36.18,49.30,36.18,47.65,1730780000,1866370000
16-Jun-17,30.28,35.70,29.55,35.70,515973000,1561380000
15-Jun-17,30.22,30.37,27.31,30.22,314502000,1557670000
14-Jun-17,30.74,32.06,29.32,30.22,278323000,1584220000
13-Jun-17,29.49,30.64,29.33,30.64,150455000,1519410000
12-Jun-17,33.23,33.23,27.80,29.50,372663000,1711460000
11-Jun-17,30.50,33.56,30.16,33.22,406218000,1570430000
10-Jun-17,29.68,30.59,29.66,30.44,202679000,1528070000
9-Jun-17,30.19,30.59,29.62,29.68,176841000,1553630000
8-Jun-17,28.38,30.34,27.88,30.21,229005000,1460360000
7-Jun-17,30.57,30.68,28.37,28.39,264597000,1572550000
6-Jun-17,30.84,31.33,29.26,30.55,321099000,1586150000
5-Jun-17,28.09,30.99,28.09,30.84,366901000,1444260000
4-Jun-17,27.65,27.94,26.95,27.94,204435000,1421270000
3-Jun-17,29.04,29.17,26.63,27.66,290556000,1492070000
2-Jun-17,28.90,29.89,27.74,28.94,332251000,1484470000
1-Jun-17,25.34,29.62,25.30,28.80,420473000,1301540000
31-May-17,24.29,25.57,23.18,25.30,298675000,1247240000
30-May-17,25.32,26.13,24.03,24.14,216944000,1299460000
29-May-17,24.32,25.69,23.28,25.21,219796000,1248110000
28-May-17,24.01,26.07,22.11,24.22,377039000,1231490000
27-May-17,23.40,25.43,20.10,23.74,505424000,1200170000
26-May-17,30.33,31.32,22.56,23.75,484254000,1554680000
25-May-17,34.47,36.21,28.87,29.90,687651000,1766650000
24-May-17,32.12,35.16,31.71,34.45,196292000,1645910000
23-May-17,25.30,32.11,24.93,32.11,216875000,1296170000
22-May-17,26.14,27.50,23.27,25.38,164829000,1338680000
21-May-17,27.48,28.74,25.73,26.30,104882000,1406610000
20-May-17,27.68,28.16,27.20,27.51,59065000,1416690000
19-May-17,28.29,28.41,26.78,27.70,96923800,1447310000
18-May-17,25.17,29.01,25.12,28.36,115830000,1287210000
17-May-17,23.24,25.95,20.80,25.40,141118000,1188550000
